PLAYER,Größe in cm (Umrechnung von Inches),Gewicht in kg,GP,PTS,Historical
Donovan Williams,198.12,86.1825503,2.0,2.0,Aktuelle Spieler
Doug McDermott,198.12,102.05828325,64.0,10.2,Aktuelle Spieler
Draymond Green,198.12,104.3262451,73.0,8.5,Aktuelle Spieler
Eugene Omoruyi,198.12,106.59420695,40.0,7.0,Aktuelle Spieler
Evan Fournier,198.12,92.98643585,27.0,6.1,Aktuelle Spieler
Garrett Temple,198.12,88.45051215,25.0,2.0,Aktuelle Spieler
Garrison Mathews,198.12,97.52235955,54.0,4.8,Aktuelle Spieler
Grant Williams,198.12,107.04779932,79.0,8.1,Aktuelle Spieler
Isaiah Livers,198.12,105.23342984,52.0,6.7,Aktuelle Spieler
Jae Crowder,198.12,106.59420695,18.0,6.9,Aktuelle Spieler
Jamal Cain,198.12,86.63614267,18.0,5.4,Aktuelle Spieler
Jared Rhoden,198.12,95.2543977,14.0,3.2,Aktuelle Spieler
Jarrett Culver,198.12,88.45051215,10.0,4.4,Aktuelle Spieler
Jaylen Brown,198.12,101.15109851,67.0,26.6,Aktuelle Spieler
Joe Harris,198.12,99.7903214,74.0,7.6,Aktuelle Spieler
Joe Wieskamp,198.12,92.98643585,9.0,1.0,Aktuelle Spieler
Johnny Juzang,198.12,94.80080533,18.0,4.8,Aktuelle Spieler
Jordan Schakel,198.12,90.718474,2.0,1.5,Aktuelle Spieler
Josh Richardson,198.12,90.718474,65.0,10.1,Aktuelle Spieler
Joshua Primo,198.12,85.72895793,4.0,7.0,Aktuelle Spieler
Juan Toscano-Anderson,198.12,94.80080533,52.0,3.0,Aktuelle Spieler
Justin Champagnie,198.12,93.44002822,5.0,2.2,Aktuelle Spieler
Justin Holiday,198.12,81.6466266,46.0,4.5,Aktuelle Spieler
Justise Winslow,198.12,100.69750614,29.0,6.8,Aktuelle Spieler
Kelly Oubre Jr.,198.12,92.07925111,48.0,20.3,Aktuelle Spieler
Kenneth Lofton Jr.,198.12,124.73790175,24.0,5.0,Aktuelle Spieler
Kenrich Williams,198.12,95.2543977,53.0,8.0,Aktuelle Spieler
Kevon Harris,198.12,97.97595192,34.0,4.1,Aktuelle Spieler
Klay Thompson,198.12,99.7903214,69.0,21.9,Aktuelle Spieler
Lamar Stevens,198.12,104.3262451,62.0,5.3,Aktuelle Spieler
Leandro Bolmaro,198.12,90.718474,14.0,0.4,Aktuelle Spieler
Lindy Waters III,198.12,95.2543977,41.0,5.2,Aktuelle Spieler
Malcolm Hill,198.12,99.7903214,5.0,1.0,Aktuelle Spieler
Matt Ryan,198.12,97.52235955,34.0,3.6,Aktuelle Spieler
Mikal Bridges,198.12,94.80080533,83.0,20.1,Aktuelle Spieler
PJ Dozier,198.12,92.98643585,16.0,1.4,Aktuelle Spieler
RJ Barrett,198.12,97.06876718,73.0,19.6,Aktuelle Spieler
Reggie Bullock,198.12,92.98643585,78.0,7.2,Aktuelle Spieler
Royce O'Neale,198.12,102.51187562,76.0,8.8,Aktuelle Spieler
Shai Gilgeous-Alexander,198.12,88.45051215,68.0,31.4,Aktuelle Spieler
Stanley Johnson,198.12,109.76935354,30.0,5.8,Aktuelle Spieler
Stanley Umude,198.12,95.2543977,1.0,2.0,Aktuelle Spieler
Taurean Prince,198.12,98.88313666,54.0,9.1,Aktuelle Spieler
Trevelin Queen,198.12,86.1825503,7.0,3.0,Aktuelle Spieler
Tyrese Martin,198.12,97.52235955,16.0,1.3,Aktuelle Spieler
Zion Williamson,198.12,128.82023308,29.0,26.0,Aktuelle Spieler
AJ Green,195.58,86.1825503,35.0,4.4,Aktuelle Spieler
Aaron Nesmith,195.58,97.52235955,73.0,10.1,Aktuelle Spieler
Aaron Wiggins,195.58,86.1825503,70.0,6.8,Aktuelle Spieler
Admiral Schofield,195.58,109.31576117,37.0,4.2,Aktuelle Spieler
Alex Caruso,195.58,84.36818082,67.0,5.6,Aktuelle Spieler
Austin Reaves,195.58,89.35769689,64.0,13.0,Aktuelle Spieler
Ayo Dosunmu,195.58,90.718474,80.0,8.6,Aktuelle Spieler
Bennedict Mathurin,195.58,95.2543977,78.0,16.7,Aktuelle Spieler
Bogdan Bogdanovic,195.58,102.05828325,54.0,14.0,Aktuelle Spieler
Caleb Martin,195.58,92.98643585,71.0,9.6,Aktuelle Spieler
Chima Moneke,195.58,101.15109851,2.0,1.0,Aktuelle Spieler
Chris Duarte,195.58,86.1825503,46.0,7.9,Aktuelle Spieler
Coby White,195.58,88.45051215,74.0,9.7,Aktuelle Spieler
Damion Lee,195.58,95.2543977,74.0,8.2,Aktuelle Spieler
Davon Reed,195.58,93.44002822,43.0,2.1,Aktuelle Spieler
Dejounte Murray,195.58,81.6466266,74.0,20.5,Aktuelle Spieler
Delon Wright,195.58,83.91458845,50.0,7.4,Aktuelle Spieler
Dereon Seabron,195.58,81.6466266,5.0,0.8,Aktuelle Spieler
Desmond Bane,195.58,97.52235955,58.0,21.5,Aktuelle Spieler
Devin Booker,195.58,93.44002822,53.0,27.8,Aktuelle Spieler
Devin Vassell,195.58,90.718474,38.0,18.5,Aktuelle Spieler
Gary Trent Jr.,195.58,94.80080533,66.0,17.4,Aktuelle Spieler
Hamidou Diallo,195.58,91.62565874,56.0,9.3,Aktuelle Spieler
Haywood Highsmith,195.58,99.7903214,54.0,4.4,Aktuelle Spieler
Isaac Okoro,195.58,102.05828325,76.0,6.4,Aktuelle Spieler
Ish Wainright,195.58,113.3980925,60.0,4.2,Aktuelle Spieler
Jae'Sean Tate,195.58,104.3262451,31.0,9.1,Aktuelle Spieler
Jalen Suggs,195.58,92.98643585,53.0,9.9,Aktuelle Spieler
Jalen Williams,195.58,95.70799007,75.0,14.1,Aktuelle Spieler
James Harden,195.58,99.7903214,58.0,21.0,Aktuelle Spieler
Jarrell Brantley,195.58,113.3980925,4.0,5.5,Aktuelle Spieler
Javonte Green,195.58,92.98643585,32.0,5.2,Aktuelle Spieler
Jay Scrubb,195.58,99.7903214,2.0,6.5,Aktuelle Spieler
Jeenathan Williams,195.58,92.98643585,5.0,10.6,Aktuelle Spieler
John Konchar,195.58,95.2543977,72.0,5.1,Aktuelle Spieler
Jordan Clarkson,195.58,87.99691978,61.0,20.8,Aktuelle Spieler
Jrue Holiday,195.58,92.98643585,67.0,19.3,Aktuelle Spieler
Keldon Johnson,195.58,99.7903214,63.0,22.0,Aktuelle Spieler
Kentavious Caldwell-Pope,195.58,92.53284348,76.0,10.8,Aktuelle Spieler
Killian Hayes,195.58,88.45051215,76.0,10.3,Aktuelle Spieler
Kobi Simmons,195.58,81.6466266,5.0,1.0,Aktuelle Spieler
Luke Kennard,195.58,93.44002822,59.0,9.3,Aktuelle Spieler
Matisse Thybulle,195.58,91.17206637,71.0,4.1,Aktuelle Spieler
Max Christie,195.58,86.1825503,41.0,3.1,Aktuelle Spieler
Max Strus,195.58,97.52235955,80.0,11.5,Aktuelle Spieler
Michael Carter-Williams,195.58,86.1825503,4.0,4.3,Aktuelle Spieler
Moses Moody,195.58,95.70799007,63.0,4.8,Aktuelle Spieler
Nassir Little,195.58,99.7903214,54.0,6.6,Aktuelle Spieler
Nickeil Alexander-Walker,195.58,92.98643585,59.0,6.2,Aktuelle Spieler
Ochai Agbaji,195.58,97.52235955,59.0,7.9,Aktuelle Spieler
P.J. Tucker,195.58,111.13013065,75.0,3.5,Aktuelle Spieler
Pat Connaughton,195.58,94.80080533,61.0,7.6,Aktuelle Spieler
Quentin Grimes,195.58,95.2543977,71.0,11.3,Aktuelle Spieler
Quenton Jackson,195.58,78.47148001,9.0,6.2,Aktuelle Spieler
Romeo Langford,195.58,97.97595192,43.0,6.9,Aktuelle Spieler
Ron Harper Jr.,195.58,111.13013065,9.0,2.2,Aktuelle Spieler
Shaedon Sharpe,195.58,90.718474,80.0,9.9,Aktuelle Spieler
Shake Milton,195.58,92.98643585,76.0,8.4,Aktuelle Spieler
Spencer Dinwiddie,195.58,97.52235955,79.0,17.3,Aktuelle Spieler
Sterling Brown,195.58,99.33672903,4.0,0.0,Aktuelle Spieler
Terance Mann,195.58,97.52235955,81.0,8.8,Aktuelle Spieler
Theo Maledon,195.58,79.37866475,44.0,6.7,Aktuelle Spieler
Tim Hardaway Jr.,195.58,92.98643585,71.0,14.4,Aktuelle Spieler
Ty Jerome,195.58,88.45051215,45.0,6.9,Aktuelle Spieler
Tyler Herro,195.58,88.45051215,67.0,20.1,Aktuelle Spieler
Tyrese Haliburton,195.58,83.91458845,56.0,20.7,Aktuelle Spieler
Wendell Moore Jr.,195.58,97.52235955,29.0,1.4,Aktuelle Spieler
Wesley Matthews,195.58,99.7903214,52.0,3.4,Aktuelle Spieler
Will Barton,195.58,82.10021897,56.0,6.8,Aktuelle Spieler
Xavier Sneed,195.58,97.52235955,4.0,4.3,Aktuelle Spieler
Zach LaVine,195.58,90.718474,77.0,24.8,Aktuelle Spieler
Alondes Williams,193.04,95.2543977,1.0,0.0,Aktuelle Spieler
Anthony Edwards,193.04,102.05828325,79.0,24.6,Aktuelle Spieler
Austin Rivers,193.04,90.718474,52.0,4.9,Aktuelle Spieler
Blake Wesley,193.04,83.91458845,37.0,5.0,Aktuelle Spieler
Bradley Beal,193.04,93.89362059,50.0,23.2,Aktuelle Spieler
Bruce Brown,193.04,91.62565874,80.0,11.5,Aktuelle Spieler
Buddy Hield,193.04,99.7903214,80.0,16.8,Aktuelle Spieler
D'Angelo Russell,193.04,87.54332741,71.0,17.8,Aktuelle Spieler
Daishen Nix,193.04,102.51187562,57.0,4.0,Aktuelle Spieler
David Duke Jr.,193.04,92.53284348,23.0,3.7,Aktuelle Spieler
David Roddy,193.04,115.66605435,70.0,6.7,Aktuelle Spieler
Deonte Burton,193.04,108.8621688,2.0,0.0,Aktuelle Spieler
Derrick White,193.04,86.1825503,82.0,12.4,Aktuelle Spieler
Donte DiVincenzo,193.04,92.07925111,72.0,9.4,Aktuelle Spieler
Edmond Sumner,193.04,88.90410452,53.0,7.1,Aktuelle Spieler
Frank Ntilikina,193.04,90.718474,47.0,2.9,Aktuelle Spieler
Gary Harris,193.04,95.2543977,48.0,8.3,Aktuelle Spieler
George Hill,193.04,85.27536556,46.0,5.0,Aktuelle Spieler
Goran Dragic,193.04,86.1825503,58.0,6.3,Aktuelle Spieler
Grayson Allen,193.04,89.81128926,72.0,10.4,Aktuelle Spieler
Jaden Ivey,193.04,88.45051215,74.0,16.3,Aktuelle Spieler
Jaden Springer,193.04,91.62565874,16.0,2.6,Aktuelle Spieler
Jalen Green,193.04,84.36818082,76.0,22.1,Aktuelle Spieler
Jamal Murray,193.04,97.52235955,65.0,20.0,Aktuelle Spieler
James Bouknight,193.04,86.1825503,34.0,5.6,Aktuelle Spieler
Jaylen Nowell,193.04,91.17206637,65.0,10.8,Aktuelle Spieler
Johnny Davis,193.04,88.45051215,28.0,5.8,Aktuelle Spieler
Jordan Poole,193.04,87.99691978,82.0,20.4,Aktuelle Spieler
Josh Christopher,193.04,97.52235955,64.0,5.8,Aktuelle Spieler
Josh Hart,193.04,97.52235955,76.0,9.8,Aktuelle Spieler
Josh Okogie,193.04,96.61517481,72.0,7.3,Aktuelle Spieler
Kevin Porter Jr.,193.04,92.07925111,59.0,19.2,Aktuelle Spieler
Landry Shamet,193.04,86.1825503,40.0,8.7,Aktuelle Spieler
Lester Quinones,193.04,94.34721296,4.0,2.5,Aktuelle Spieler
Lonnie Walker IV,193.04,92.53284348,56.0,11.7,Aktuelle Spieler
Luguentz Dort,193.04,99.7903214,74.0,13.7,Aktuelle Spieler
Malaki Branham,193.04,81.6466266,66.0,10.2,Aktuelle Spieler
Malcolm Brogdon,193.04,103.87265273,67.0,14.9,Aktuelle Spieler
Malik Beasley,193.04,84.82177319,81.0,12.7,Aktuelle Spieler
Marcus Smart,193.04,99.7903214,61.0,11.5,Aktuelle Spieler
Markelle Fultz,193.04,94.80080533,60.0,14.0,Aktuelle Spieler
Norman Powell,193.04,97.52235955,60.0,17.0,Aktuelle Spieler
R.J. Hampton,193.04,79.37866475,47.0,6.4,Aktuelle Spieler
Rodney McGruder,193.04,92.98643585,32.0,5.7,Aktuelle Spieler
Sam Merrill,193.04,92.98643585,5.0,5.0,Aktuelle Spieler
Shaquille Harrison,193.04,88.45051215,5.0,8.8,Aktuelle Spieler
Skylar Mays,193.04,92.98643585,6.0,15.3,Aktuelle Spieler
Talen Horton-Tucker,193.04,106.14061458,65.0,10.7,Aktuelle Spieler
Terence Davis,193.04,91.17206637,64.0,6.7,Aktuelle Spieler
Terry Taylor,193.04,104.3262451,31.0,2.9,Aktuelle Spieler
Trent Forrest,193.04,95.2543977,23.0,2.3,Aktuelle Spieler
Trevor Keels,193.04,100.24391377,3.0,1.0,Aktuelle Spieler
Tyler Dorsey,193.04,81.6466266,3.0,3.0,Aktuelle Spieler
Vince Williams Jr.,193.04,92.98643585,15.0,2.0,Aktuelle Spieler
Andrew Nembhard,190.5,86.63614267,75.0,9.5,Aktuelle Spieler
Anfernee Simons,190.5,82.10021897,62.0,21.1,Aktuelle Spieler
CJ McCollum,190.5,86.1825503,75.0,20.9,Aktuelle Spieler
Cam Thomas,190.5,95.2543977,57.0,10.6,Aktuelle Spieler
Cole Anthony,190.5,83.91458845,60.0,13.0,Aktuelle Spieler
Cory Joseph,190.5,90.718474,62.0,6.9,Aktuelle Spieler
De'Aaron Fox,190.5,83.91458845,73.0,25.0,Aktuelle Spieler
Derrick Rose,190.5,90.718474,27.0,5.6,Aktuelle Spieler
Dru Smith,190.5,92.07925111,15.0,2.9,Aktuelle Spieler
Eric Gordon,190.5,97.52235955,69.0,12.4,Aktuelle Spieler
Frank Jackson,190.5,92.98643585,1.0,0.0,Aktuelle Spieler
Gabe York,190.5,86.1825503,3.0,8.0,Aktuelle Spieler
Isaiah Joe,190.5,74.84274105,73.0,9.5,Aktuelle Spieler
Jaden Hardy,190.5,89.81128926,48.0,8.8,Aktuelle Spieler
Jared Butler,190.5,87.54332741,6.0,6.2,Aktuelle Spieler
Jason Preston,190.5,82.10021897,14.0,2.9,Aktuelle Spieler
Jeff Dowtin Jr.,190.5,80.28584949,25.0,2.4,Aktuelle Spieler
John Wall,190.5,95.2543977,34.0,11.4,Aktuelle Spieler
Jordan Goodwin,190.5,90.718474,62.0,6.6,Aktuelle Spieler
Kendrick Nunn,190.5,86.1825503,70.0,7.1,Aktuelle Spieler
Keon Ellis,190.5,79.37866475,16.0,1.5,Aktuelle Spieler
Keon Johnson,190.5,83.91458845,40.0,4.7,Aktuelle Spieler
Kris Dunn,190.5,92.98643585,22.0,13.2,Aktuelle Spieler
Malik Monk,190.5,90.718474,77.0,13.5,Aktuelle Spieler
Matthew Dellavedova,190.5,90.718474,32.0,1.5,Aktuelle Spieler
Russell Westbrook,190.5,90.718474,73.0,15.9,Aktuelle Spieler
Ryan Arcidiacono,190.5,88.45051215,20.0,1.3,Aktuelle Spieler
Ryan Rollins,190.5,81.6466266,12.0,1.9,Aktuelle Spieler
Tre Mann,190.5,80.73944186,67.0,7.7,Aktuelle Spieler
TyTy Washington Jr.,190.5,88.45051215,31.0,4.7,Aktuelle Spieler
Victor Oladipo,190.5,96.61517481,42.0,10.7,Aktuelle Spieler
Bones Hyland,187.96,76.65711053,56.0,11.8,Aktuelle Spieler
Bryn Forbes,187.96,92.98643585,25.0,3.6,Aktuelle Spieler
Collin Sexton,187.96,86.1825503,48.0,14.3,Aktuelle Spieler
Damian Lillard,187.96,88.45051215,58.0,32.2,Aktuelle Spieler
De'Anthony Melton,187.96,90.718474,77.0,10.1,Aktuelle Spieler
Dennis Smith Jr.,187.96,92.98643585,54.0,8.8,Aktuelle Spieler
Duane Washington Jr.,187.96,89.35769689,31.0,7.9,Aktuelle Spieler
Gabe Vincent,187.96,90.718474,68.0,9.4,Aktuelle Spieler
Gary Payton II,187.96,88.45051215,22.0,4.6,Aktuelle Spieler
Immanuel Quickley,187.96,86.1825503,81.0,14.9,Aktuelle Spieler
Ja Morant,187.96,78.92507238,61.0,26.2,Aktuelle Spieler
Jalen Brunson,187.96,86.1825503,68.0,24.0,Aktuelle Spieler
Jamaree Bouyea,187.96,81.6466266,5.0,3.0,Aktuelle Spieler
Kyrie Irving,187.96,88.45051215,60.0,27.1,Aktuelle Spieler
Mac McClung,187.96,83.91458845,2.0,12.5,Aktuelle Spieler
Miles McBride,187.96,88.45051215,64.0,3.5,Aktuelle Spieler
Monte Morris,187.96,83.00740371,62.0,10.3,Aktuelle Spieler
Patrick Beverley,187.96,81.6466266,67.0,6.2,Aktuelle Spieler
Raul Neto,187.96,81.6466266,48.0,3.3,Aktuelle Spieler
Reggie Jackson,187.96,94.34721296,68.0,10.2,Aktuelle Spieler
Ricky Rubio,187.96,86.1825503,33.0,5.2,Aktuelle Spieler
Saben Lee,187.96,83.00740371,25.0,6.0,Aktuelle Spieler
Stephen Curry,187.96,83.91458845,56.0,29.4,Aktuelle Spieler
Tyrese Maxey,187.96,90.718474,60.0,20.3,Aktuelle Spieler
Tyus Jones,187.96,88.90410452,80.0,10.3,Aktuelle Spieler
Cameron Payne,185.42,83.00740371,48.0,10.3,Aktuelle Spieler
Darius Garland,185.42,87.08973504,69.0,21.6,Aktuelle Spieler
Dennis Schroder,185.42,78.01788764,66.0,12.6,Aktuelle Spieler
Devon Dotson,185.42,83.91458845,6.0,0.5,Aktuelle Spieler
Devonte' Graham,185.42,88.45051215,73.0,7.4,Aktuelle Spieler
Donovan Mitchell,185.42,97.52235955,68.0,28.3,Aktuelle Spieler
JD Davison,185.42,88.45051215,12.0,1.6,Aktuelle Spieler
Jevon Carter,185.42,90.718474,81.0,8.0,Aktuelle Spieler
Kira Lewis Jr.,185.42,77.1107029,25.0,4.6,Aktuelle Spieler
Lindell Wigginton,185.42,85.72895793,7.0,7.1,Aktuelle Spieler
Malachi Flynn,185.42,79.37866475,53.0,4.6,Aktuelle Spieler
Mike Conley,185.42,79.37866475,67.0,11.9,Aktuelle Spieler
Payton Pritchard,185.42,88.45051215,48.0,5.6,Aktuelle Spieler
Scotty Pippen Jr.,185.42,77.1107029,6.0,2.3,Aktuelle Spieler
Seth Curry,185.42,83.91458845,61.0,9.2,Aktuelle Spieler
T.J. McConnell,185.42,86.1825503,75.0,8.7,Aktuelle Spieler
Terry Rozier,185.42,86.1825503,63.0,21.1,Aktuelle Spieler
Trae Young,185.42,74.38914868,73.0,26.2,Aktuelle Spieler
Tre Jones,185.42,83.91458845,68.0,12.9,Aktuelle Spieler
Aaron Holiday,182.88,83.91458845,63.0,3.9,Aktuelle Spieler
Carlik Jones,182.88,78.92507238,7.0,2.9,Aktuelle Spieler
Chris Paul,182.88,79.37866475,59.0,13.9,Aktuelle Spieler
Davion Mitchell,182.88,91.62565874,80.0,5.6,Aktuelle Spieler
Fred VanVleet,182.88,89.35769689,69.0,19.3,Aktuelle Spieler
Ish Smith,182.88,79.37866475,43.0,2.5,Aktuelle Spieler
Jordan McLaughlin,182.88,83.91458845,43.0,3.7,Aktuelle Spieler
Jose Alvarado,182.88,81.19303423,61.0,9.0,Aktuelle Spieler
Kemba Walker,182.88,83.46099608,9.0,8.0,Aktuelle Spieler
Kyle Lowry,182.88,88.90410452,55.0,11.2,Aktuelle Spieler
Patty Mills,182.88,81.6466266,40.0,6.2,Aktuelle Spieler
Trevor Hudgins,182.88,81.6466266,5.0,1.8,Aktuelle Spieler
Xavier Moon,182.88,74.84274105,4.0,1.8,Aktuelle Spieler
Kennedy Chandler,180.34,77.1107029,36.0,2.2,Aktuelle Spieler
McKinley Wright IV,180.34,87.08973504,27.0,4.2,Aktuelle Spieler
Facundo Campazzo,177.8,88.45051215,8.0,1.3,Aktuelle Spieler
Jacob Gilyard,175.26,72.5747792,1.0,3.0,Aktuelle Spieler
Gheorghe Muresan,231.14,137.43848811,307,9.8,FrÃ¼here Spieler
Manute Bol,231.14,90.718474,624,2.6,FrÃ¼here Spieler
Shawn Bradley,228.6,124.73790175,832,8.1,FrÃ¼here Spieler
Yao Ming,228.6,140.6136347,486,19.0,FrÃ¼here Spieler
Shaquille O'Neill,215.9,147.41752025,1207,23.7,FrÃ¼here Spieler
Tacko Fall,228.6,141.06722707,37,2.2,FrÃ¼here Spieler
Slavko Vranes,228.6,136.98489574,1,0,FrÃ¼here Spieler
Chuck Nevitt,226.06,98.42954429,155,1.6,FrÃ¼here Spieler
Pavel Podkolzin,226.06,138.34567285,6,0.7,FrÃ¼here Spieler
Victor Wembanyama,223.52,95.2543977,0,0,Victor Wembanyama
Sim Bhullar,226.06,162.83966083,3,0.7,FrÃ¼here Spieler
Mark Eaton,223.52,125,875,6.0,FrÃ¼here Spieler
Rik Smits,223.52,113.3980925,867,14.8,FrÃ¼here Spieler
Ralph Sampson,223.52,106.59420695,456,15.4,FrÃ¼here Spieler
Priest Lauderdale,223.52,147.41752025,74,3.4,FrÃ¼here Spieler
Dirk Nowitzki,213.36,111.13013065,1522,20.7,FrÃ¼here Spieler
Michael Jordan,198.12,97.97595192,1072,30.1,FrÃ¼here Spieler
